product_id,product_name,product_price,average_weight_kg,product_category,customer_id,customer_name,product_count,total_amount,historical_amount,customer_start_date,last_transaction_date,transaction_id,transaction_amount,transaction_time
48443,Tortilla(6pck),5.0,0.3,Bakery,359816,Kylie Davis,3,15.13,20.0,5/28/2023,2024-06-03,61a6721c-a04b-46f7-81f0-27dd35b5733d,15.59,2024-06-03 19:30:00
44817,White Bread,4.0,0.5,Bakery,972886,Delina Ivanova,1,4.29,12.0,10/11/2021,2024-07-18,39b6d3f7-6f88-4b4c-9e24-4d32f9e7d5be,4.44,2024-07-18 03:49:00
60571,Tomato Ketchup,5.5,0.75,Sauce,121533,John Castillo,3,15.93,16.5,2/15/2023,2024-11-30,67591a5b-8291-43ba-b8fe-62a6ca4368bb,16.68,2024-11-30 14:56:00
55644,Beef,18.0,1.0,Meat,121533,John Castillo,3,50.25,16.5,2/15/2023,2024-11-05,60102540-053b-41f0-973c-27c463e6724b,53.98,2024-11-05 01:42:00
67243,Shredded Cheese(350g),7.0,0.35,Dairy,703094,Leslie Pitts,2,14.53,21.0,3/15/2021,2024-08-23,d578721e-7626-4899-befc-4bc8dc0dd06c,14.0,2024-08-23 09:53:00
32815,Eggs(0.5dozen),4.5,0.3,Dairy,972886,Delina Ivanova,4,17.0,12.0,10/11/2021,2024-09-13,09d8c9d7-23e1-4aa9-a1fd-1b77ac3d7d9a,15.53,2024-09-13 04:38:00
11013,Cookies,4.25,0.35,Snacks,770025,Matthew Gordon,4,15.98,17.0,7/19/2020,2024-11-04,aadb8ab4-9559-45cb-9339-efefe004665e,16.76,2024-11-04 23:06:00
79206,Eggs(1.5dozen),11.25,0.9,Dairy,197461,Kim Scott,1,12.19,33.75,12/1/2020,2024-02-29,c5837fb9-d248-4557-835b-b78d86dcbd48,11.68,2024-02-29 15:29:00
38954,Mustard,4.5,0.35,Sauce,703094,Leslie Pitts,1,4.63,21.0,3/15/2021,2024-09-07,66e38bf3-5362-4ac4-aa77-6d80f7701da7,4.46,2024-09-07 07:13:00
64629,Peanut Butter,4.5,0.5,Dairy,197461,Kim Scott,1,4.36,33.75,12/1/2020,2024-11-11,d5e75e7d-cd8d-45e4-88ca-8779e85e1952,4.24,2024-11-11 01:59:00
24766,Tortilla(10pck),7.5,0.5,Bakery,703094,Leslie Pitts,1,7.37,13.5,3/15/2021,2024-09-08,e457e53a-807e-4fe2-9183-6b180e629cca,6.99,2024-09-08 07:42:00
44817,White Bread,4.0,0.5,Bakery,208839,Selvin Furtado,2,7.24,12.0,3/7/2020,2024-03-24,39698c00-b9a5-4936-a1f8-7d97247546c8,7.56,2024-03-24 13:27:00
64629,Peanut Butter,4.5,0.5,Dairy,413186,Alison Williams,1,4.07,4.5,12/3/2019,2024-03-15,904b2073-c8e8-4e2b-8e1d-93438924e6f5,3.89,2024-03-15 14:24:00
44817,White Bread,4.0,0.5,Bakery,703094,Leslie Pitts,2,8.71,7.5,3/15/2021,2024-09-20,fe5dacd8-8f59-4572-978c-a78786abf89c,7.98,2024-09-20 03:47:00
67243,Shredded Cheese(350g),7.0,0.35,Dairy,999944,Cory Simpson,2,14.66,21.0,8/12/2023,2024-04-17,77f0e9ac-9153-42a8-a29d-472acbc57fff,13.64,2024-04-17 14:13:00
67243,Shredded Cheese(350g),7.0,0.35,Dairy,586669,Micheal Case,3,21.99,21.0,7/21/2022,2024-07-06,3352fffb-b577-46fa-8eff-859230455c61,23.06,2024-07-06 16:54:00
24766,Tortilla(10pck),7.5,0.5,Bakery,121533,John Castillo,1,7.5,36.0,2/15/2023,2024-12-02,4bc37b60-4bcc-4808-a3cb-97f8857f3646,7.06,2024-12-02 06:25:00
38402,Onions(5pck),4.0,0.85,Vegetables,954422,Jeffrey Jordan,1,4.38,4.0,2/22/2021,2024-05-10,c4efc048-e5d8-46a9-b9c4-2721ac39dddd,4.08,2024-05-10 11:52:00
48443,Tortilla(6pck),5.0,0.3,Bakery,851488,Neeraj Nagula,6,32.89,20.0,6/25/2021,2024-09-08,35764b7b-5450-4010-850e-a4126c14e4ce,30.04,2024-09-08 18:58:00
54229,Brown Bread,5.0,0.5,Bakery,870229,Elizabeth Brown,6,32.82,20.0,12/27/2022,2024-10-10,4753d29c-b3ab-4c28-befd-1cd70cef3b43,34.87,2024-10-10 15:21:00
40442,Pork,17.0,1.0,Meat,208839,Selvin Furtado,2,33.22,12.0,3/7/2020,2024-10-05,0f462d63-93c7-41c3-ad6c-5d1a09efd64f,33.76,2024-10-05 20:54:00
11561,Mushrooms(350g),3.75,0.35,Vegetables,630214,Richard Barnes,1,3.71,3.75,4/16/2020,2024-12-14,41635db1-4dd4-4bdf-bb1a-15d20a171dc5,3.94,2024-12-14 04:12:00
